mesh_id,mesh_name,tree_numbers
D008654,Mesothelioma,C04.557.470.035.510|C04.557.470.660.510
D008949,"Adenoma, Pleomorphic",C04.557.435.090|C04.557.470.035.155
D009062,Mouth Neoplasms,C04.588.443.591
D009078,Mucocele,C04.182.511
D009101,Multiple Myeloma,C04.557.595.500
D009157,Myasthenia Gravis,C04.588.614.550.500|C04.730.856.490
D009182,Mycosis Fungoides,C04.557.386.480.750.800.550
D009188,"Myelitis, Transverse",C04.588.614.550.550|C04.730.856.543
D009208,Myoepithelioma,C04.557.435.585
D009214,Myoma,C04.557.450.590.540
D009217,Myosarcoma,C04.557.450.590.550|C04.557.450.795.550
D009232,Myxoma,C04.557.450.565.550
D009236,Myxosarcoma,C04.557.450.565.560|C04.557.450.795.560
D009303,Nasopharyngeal Neoplasms,C04.588.443.665.710.650
D009347,Nelson Syndrome,C04.588.322.609.145.500
D009360,"Neoplastic Cells, Circulating",C04.697.650.900
D009361,Neoplasm Invasiveness,C04.697.645
D009362,Neoplasm Metastasis,C04.697.650
D009364,"Neoplasm Recurrence, Local",C04.697.655
D009365,"Neoplasm Regression, Spontaneous",C04.697.670
D009366,Neoplasm Seeding,C04.697.650.830
D009369,Neoplasms,C04
D009370,Neoplasms by Histologic Type,C04.557
D009371,Neoplasms by Site,C04.588
D009372,"Neoplasms, Connective Tissue",C04.557.450.565
D009373,"Neoplasms, Germ Cell and Embryonal",C04.557.465
D009374,"Neoplasms, Experimental",C04.619
D009375,"Neoplasms, Glandular and Epithelial",C04.557.470
D009376,"Neoplasms, Hormone-Dependent",C04.626
D009377,Multiple Endocrine Neoplasia,C04.588.322.400|C04.651.600|C04.700.630
D009378,"Neoplasms, Multiple Primary",C04.651
D009379,"Neoplasms, Muscle Tissue",C04.557.450.590
D009380,"Neoplasms, Nerve Tissue",C04.557.580
D009381,"Neoplasms, Radiation-Induced",C04.682
D009382,"Neoplasms, Unknown Primary",C04.697.650.895
D009383,"Neoplasms, Vascular Tissue",C04.557.645
D009384,Paraneoplastic Endocrine Syndromes,C04.588.322.490|C04.730.713
D009385,Neoplastic Processes,C04.697
D009386,"Neoplastic Syndromes, Hereditary",C04.700
D009396,Wilms Tumor,C04.557.435.595|C04.588.945.947.535.585|C04.700.900
D009423,Nervous System Neoplasms,C04.588.614
D009442,Neurilemmoma,C04.557.465.625.650.595|C04.557.580.600.610.595|C04.557.580.625.650.595
D009447,Neuroblastoma,C04.557.465.625.600.590.650.550|C04.557.470.670.590.650.550|C04.557.580.625.600.590.650.550
D009455,Neurofibroma,C04.557.580.600.580
D009456,Neurofibromatosis 1,C04.557.580.600.580.590.650|C04.700.631.650
D009463,Neuroma,C04.557.580.600.610
D009464,"Neuroma, Acoustic",C04.557.465.625.650.595.610|C04.557.580.600.610.595.610|C04.557.580.625.650.595.610|C04.588.614.300.015|C04.588.614.596.240.015
D009506,Nevus,C04.557.665.560
D009507,Nevus of Ota,C04.557.665.560.615.585
D009508,"Nevus, Pigmented",C04.557.665.560.615
D009631,Nonodontogenic Cysts,C04.182.089.530.660
D009669,Nose Neoplasms,C04.588.149.721.600|C04.588.443.665.650
D009807,Odontogenic Cysts,C04.182.089.530.690
D009808,Odontogenic Tumors,C04.557.695
D009810,Odontoma,C04.557.695.610
D009837,Oligodendroglioma,C04.557.465.625.600.380.590|C04.557.470.670.380.590|C04.557.580.625.600.380.590
D009918,Orbital Neoplasms,C04.588.149.721.656|C04.588.364.659
D009959,Oropharyngeal Neoplasms,C04.588.443.665.710.684
D010016,Osteoma,C04.557.450.565.575.625
D010017,"Osteoma, Osteoid",C04.557.450.565.575.625.625
D010039,Otorhinolaryngologic Neoplasms,C04.588.443.665
D010048,Ovarian Cysts,C04.182.612
D010051,Ovarian Neoplasms,C04.588.322.455
D010144,"Paget's Disease, Mammary",C04.557.470.200.240.187.500|C04.557.470.615.275.625
D010145,"Paget Disease, Extramammary",C04.557.470.200.025.660|C04.557.470.615.660
D010157,Palatal Neoplasms,C04.588.149.721.450.692|C04.588.443.591.692
D010178,Pancoast Syndrome,C04.588.894.797.520.734
D010181,Pancreatic Cyst,C04.182.640
D010190,Pancreatic Neoplasms,C04.588.274.761|C04.588.322.475
D010192,Pancreatic Pseudocyst,C04.182.640.692
D010212,Papilloma,C04.557.470.700.600
D010235,Paraganglioma,C04.557.465.625.650.700|C04.557.580.625.650.700
D010236,"Paraganglioma, Extra-Adrenal",C04.557.465.625.650.700.705|C04.557.580.625.650.700.705
D010255,Paranasal Sinus Neoplasms,C04.588.443.665.650.693
D010257,Paraneoplastic Syndromes,C04.730
D010282,Parathyroid Neoplasms,C04.588.322.525|C04.588.443.680
D010307,Parotid Neoplasms,C04.588.443.591.824.695
D010310,Parovarian Cyst,C04.182.668
D010386,Pelvic Neoplasms,C04.588.699
D010412,Penile Neoplasms,C04.588.945.440.715
D010509,Periodontal Cyst,C04.182.089.530.690.790
D010524,Peripheral Nervous System Neoplasms,C04.588.614.596
D010534,Peritoneal Neoplasms,C04.588.033.513|C04.588.274.780
D010580,Peutz-Jeghers Syndrome,C04.700.633
D010610,Pharyngeal Neoplasms,C04.588.443.665.710
D010673,Pheochromocytoma,C04.557.465.625.650.700.725|C04.557.580.625.650.700.725
D010864,Pilonidal Sinus,C04.182.710
D010871,Pinealoma,C04.557.465.625.600.657|C04.557.470.670.657|C04.557.580.625.600.657|C04.588.614.250.195.766
D010911,Pituitary Neoplasms,C04.588.322.609|C04.588.614.250.195.885.500.600
D010954,Plasmacytoma,C04.557.595.600
D010997,Pleural Neoplasms,C04.588.894.797.640
D011085,Polycystic Ovary Syndrome,C04.182.612.765
D011087,Polycythemia Vera,C04.588.448.200.500
D011125,Adenomatous Polyposis Coli,C04.557.470.035.215.100|C04.588.274.476.411.307.089|C04.700.100
D011151,Popliteal Cyst,C04.182.867.500
D011230,Precancerous Conditions,C04.834
D011252,"Pregnancy Complications, Neoplastic",C04.850
D011289,Preleukemia,C04.834.770
D011471,Prostatic Neoplasms,C04.588.945.440.770
D011553,Pseudomyxoma Peritonei,C04.557.470.200.025.075.500|C04.557.470.590.075.500
D011648,"Pulmonary Adenomatosis, Ovine",C04.557.470.200.025.715
D011842,Radicular Cyst,C04.182.089.530.690.790.820
D011900,Ranula,C04.182.766
D012004,Rectal Neoplasms,C04.588.274.476.411.307.790
D012142,Respiratory Tract Neoplasms,C04.588.894.797
D012175,Retinoblastoma,C04.557.465.625.600.725|C04.557.470.670.725|C04.557.580.625.600.725|C04.588.364.818.760
D012186,Retroperitoneal Neoplasms,C04.588.033.731
D012207,Rhabdomyoma,C04.557.450.590.540.700
D012208,Rhabdomyosarcoma,C04.557.450.590.550.660|C04.557.450.795.550.660
D012468,Salivary Gland Neoplasms,C04.588.443.591.824
D012509,Sarcoma,C04.557.450.795
D012510,Sarcoma 180,C04.557.450.795.830.780|C04.619.857.656
D012511,Sarcoma 37,C04.557.450.795.830.760|C04.619.857.573
D012512,"Sarcoma, Ewing",C04.557.450.565.575.650.800|C04.557.450.795.620.800
D012513,"Sarcoma, Experimental",C04.557.450.795.830|C04.619.857
D012514,"Sarcoma, Kaposi",C04.557.450.795.850|C04.557.645.750
D012515,Mast-Cell Sarcoma,C04.557.450.565.465.124
D012516,Osteosarcoma,C04.557.450.565.575.650|C04.557.450.795.620
D012517,"Sarcoma, Yoshida",C04.557.450.795.830.850|C04.619.857.822
D012626,Sebaceous Gland Neoplasms,C04.588.805.578
D012707,Sertoli Cell Tumor,C04.557.475.750.847.500|C04.588.322.762.500.500|C04.588.945.440.915.500.500
D012751,Sezary Syndrome,C04.557.386.480.750.800.775
D012811,Sigmoid Neoplasms,C04.588.274.476.411.307.180.800
D012878,Skin Neoplasms,C04.588.805
D012888,Skull Neoplasms,C04.588.149.721
D012983,Soft Tissue Neoplasms,C04.588.839
D013005,Somatostatinoma,C04.557.465.625.650.240.695|C04.557.470.200.025.370.695|C04.588.274.761.500.500|C04.588.322.475.500.500
D013120,Spinal Cord Neoplasms,C04.588.614.250.803
D013125,Spinal Neoplasms,C04.588.149.828
D013160,Splenic Neoplasms,C04.588.842
D013274,Stomach Neoplasms,C04.588.274.476.767
D013330,Struma Ovarii,C04.557.465.910.850
D013341,Sturge-Weber Syndrome,C04.557.645.375.850
D013362,Sublingual Gland Neoplasms,C04.588.443.591.824.882
D013365,Submandibular Gland Neoplasms,C04.588.443.591.824.885
D013544,Sweat Gland Neoplasms,C04.588.805.776
D013581,Synovial Cyst,C04.182.867
D013584,"Sarcoma, Synovial",C04.557.450.565.835|C04.557.450.795.875
D013586,"Synovitis, Pigmented Villonodular",C04.557.450.565.380.690.500
D013724,Teratoma,C04.557.465.910
D013736,Testicular Neoplasms,C04.588.322.762|C04.588.945.440.915
D013798,Thecoma,C04.557.475.750.875|C04.588.322.455.765
D013899,Thoracic Neoplasms,C04.588.894
D013945,Thymoma,C04.557.435.850|C04.588.894.949.500
D013953,Thymus Neoplasms,C04.588.894.949
D013955,Thyroglossal Cyst,C04.182.902
D013964,Thyroid Neoplasms,C04.588.322.894|C04.588.443.915
D014062,Tongue Neoplasms,C04.588.443.591.925
D014067,Tonsillar Neoplasms,C04.588.443.665.710.684.800
D014134,Tracheal Neoplasms,C04.588.443.925|C04.588.894.797.760
D014328,Trophoblastic Neoplasms,C04.557.465.955|C04.850.908
D014402,Tuberous Sclerosis,C04.445.810|C04.651.800|C04.700.700
D014496,Urachal Cyst,C04.182.946
D014516,Ureteral Neoplasms,C04.588.945.947.940
D014523,Urethral Neoplasms,C04.588.945.947.945
D014565,Urogenital Neoplasms,C04.588.945
D014571,Urologic Neoplasms,C04.588.945.947
D014582,Urticaria Pigmentosa,C04.557.450.565.465.500.850|C04.588.805.309.850
D014594,Uterine Neoplasms,C04.588.945.418.948
D014604,Uveal Neoplasms,C04.588.364.978
D014625,Vaginal Neoplasms,C04.588.945.418.955
D014685,"Venereal Tumors, Veterinary",C04.588.945.956
D014846,Vulvar Neoplasms,C04.588.945.418.968
D014983,Xeroderma Pigmentosum,C04.834.867
D015043,Zollinger-Ellison Syndrome,C04.730.713.988
D015173,Supratentorial Neoplasms,C04.588.614.250.195.885
D015174,Epidural Neoplasms,C04.588.614.250.803.342
D015175,Prolactinoma,C04.557.470.035.625|C04.588.322.609.792
D015179,Colorectal Neoplasms,C04.588.274.476.411.307
D015192,Infratentorial Neoplasms,C04.588.614.250.195.411
D015266,"Carcinoma, Merkel Cell",C04.557.465.625.650.240.325|C04.557.470.200.025.370.325|C04.557.580.625.650.240.325
D015408,Gastrinoma,C04.557.470.200.025.290.500|C04.588.274.761.500.124|C04.588.322.475.500.124
D015448,"Leukemia, B-Cell",C04.557.337.428.080
D015451,"Leukemia, Lymphocytic, Chronic, B-Cell",C04.557.337.428.080.125
D015452,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,C04.557.337.428.600.600
D015456,"Leukemia, Biphenotypic, Acute",C04.557.337.428.100
D015458,"Leukemia, T-Cell",C04.557.337.428.580
D015459,"Leukemia-Lymphoma, Adult T-Cell",C04.557.337.428.580.100
D015461,"Leukemia, Prolymphocytic, T-Cell",C04.557.337.428.565.750|C04.557.337.428.580.075
D015463,"Leukemia, Prolymphocytic",C04.557.337.428.565
D015464,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",C04.557.337.539.250
D015465,"Leukemia, Myeloid, Accelerated Phase",C04.557.337.539.250.300
D015466,"Leukemia, Myeloid, Chronic-Phase",C04.557.337.539.250.400
D015470,"Leukemia, Myeloid, Acute",C04.557.337.539.275
D015471,"Leukemia, Basophilic, Acute",C04.557.337.539.275.125
D015472,"Leukemia, Eosinophilic, Acute",C04.557.337.539.275.300
D015473,"Leukemia, Promyelocytic, Acute",C04.557.337.539.275.700
D015477,"Leukemia, Myelomonocytic, Chronic",C04.557.337.539.522
D015479,"Leukemia, Myelomonocytic, Acute",C04.557.337.539.520
D015529,Choledochal Cyst,C04.182.198
D015620,"Histiocytic Disorders, Malignant",C04.557.227
D015624,Lambert-Eaton Myasthenic Syndrome,C04.588.614.550.500.225|C04.730.856.490.225
D015674,"Mammary Neoplasms, Animal",C04.588.531
D015811,Iris Neoplasms,C04.588.364.978.400
D015831,Osteochondroma,C04.557.450.565.575.610
D016066,"Pleural Effusion, Malignant",C04.588.894.797.640.700
D016080,Arachnoid Cysts,C04.182.044|C04.588.614.250.387.100
D016393,"Lymphoma, B-Cell",C04.557.386.480.150
D016399,"Lymphoma, T-Cell",C04.557.386.480.750
D016400,"Lymphoma, Large-Cell, Immunoblastic",C04.557.386.480.493
D016403,"Lymphoma, Large B-Cell, Diffuse",C04.557.386.480.150.585
D016410,"Lymphoma, T-Cell, Cutaneous",C04.557.386.480.750.800
D016411,"Lymphoma, T-Cell, Peripheral",C04.557.386.480.750.825
D016483,"Lymphoma, AIDS-Related",C04.557.386.480.150.450
D016518,Neurofibromatosis 2,C04.557.465.625.650.595.610.500|C04.557.580.600.580.590.655|C04.557.580.600.610.595.610.500|C04.700.631.655
D016543,Central Nervous System Neoplasms,C04.588.614.250
D016545,Choroid Plexus Neoplasms,C04.588.614.250.195.205.200
D016582,"Leukemia, Feline",C04.557.337.385
D016583,Enzootic Bovine Leukosis,C04.557.337.100
D016586,Granular Cell Tumor,C04.557.450.590.350
D016606,Thyroid Nodule,C04.588.322.894.800|C04.588.443.915.800
D016609,"Neoplasms, Second Primary",C04.692
D016715,Proteus Syndrome,C04.445.435.500|C04.651.435.500
D016864,Li-Fraumeni Syndrome,C04.700.600
D016889,Endometrial Neoplasms,C04.588.945.418.948.585
D017043,Chalazion,C04.182.197
D017169,"Neoplasms, Post-Traumatic",C04.666
D017253,Neurofibromatoses,C04.557.580.600.580.590|C04.700.631
D017254,Leukemic Infiltration,C04.697.645.500
D017599,Neuroectodermal Tumors,C04.557.465.625|C04.557.580.625
D017600,"Neuroectodermal Tumor, Melanotic",C04.557.465.625.630|C04.557.580.625.630
D017624,WAGR Syndrome,C04.557.435.595.950|C04.588.945.947.535.585.950|C04.700.900.950
